,decile_2011_depressing,0,1,2,3,4,5,6,7,8,9
0,0,304.0,111.0,50.0,15.0,2.0,2.0,,,,
1,1,107.0,175.0,97.0,64.0,30.0,7.0,1.0,2.0,,
2,2,35.0,88.0,120.0,109.0,71.0,32.0,22.0,6.0,,
3,3,26.0,69.0,110.0,98.0,85.0,55.0,24.0,14.0,3.0,
4,4,8.0,22.0,63.0,84.0,103.0,98.0,65.0,27.0,9.0,3.0
5,5,3.0,13.0,33.0,68.0,103.0,100.0,80.0,55.0,25.0,2.0
6,6,,2.0,10.0,29.0,56.0,105.0,109.0,93.0,63.0,17.0
7,7,,2.0,,12.0,26.0,58.0,104.0,126.0,114.0,41.0
8,8,,1.0,,3.0,6.0,21.0,62.0,113.0,152.0,124.0
9,9,,,,1.0,1.0,5.0,16.0,47.0,117.0,296.0
