,decile_depressing_x,0,1,2,3,4,5,6,7,8,9
0,0,224.0,222.0,142.0,72.0,30.0,11.0,5.0,,,
1,1,26.0,86.0,140.0,137.0,108.0,59.0,22.0,11.0,2.0,
2,2,10.0,48.0,79.0,125.0,120.0,86.0,43.0,20.0,8.0,1.0
3,3,,14.0,45.0,66.0,97.0,119.0,91.0,55.0,12.0,3.0
4,4,1.0,4.0,15.0,48.0,77.0,114.0,103.0,67.0,25.0,8.0
5,5,,1.0,2.0,14.0,45.0,77.0,117.0,92.0,63.0,26.0
6,6,,,2.0,2.0,18.0,42.0,85.0,117.0,111.0,44.0
7,7,,,1.0,,6.0,15.0,59.0,99.0,159.0,103.0
8,8,,,,,2.0,4.0,20.0,48.0,139.0,176.0
9,9,,,,,,2.0,1.0,15.0,56.0,266.0
