,decile_wealth_x,0,1,2,3,4,5,6,7,8,9
0,0,272.0,196.0,104.0,46.0,6.0,7.0,2.0,,,1.0
1,1,45.0,164.0,137.0,94.0,50.0,14.0,8.0,2.0,1.0,
2,2,9.0,52.0,113.0,111.0,104.0,67.0,27.0,8.0,3.0,
3,3,3.0,29.0,72.0,102.0,121.0,101.0,50.0,22.0,4.0,2.0
4,4,2.0,7.0,32.0,61.0,98.0,121.0,97.0,44.0,17.0,1.0
5,5,,3.0,7.0,28.0,63.0,95.0,112.0,90.0,34.0,9.0
6,6,,,3.0,13.0,31.0,70.0,109.0,120.0,72.0,18.0
7,7,,,3.0,5.0,10.0,35.0,78.0,133.0,118.0,48.0
8,8,1.0,,,,3.0,13.0,44.0,86.0,174.0,139.0
9,9,,,,1.0,,2.0,4.0,30.0,83.0,314.0
