,0,1,2,3,4,5,6,7,8,9
0,1.0,0.6666666666666666,0.5454545454545454,1.0,0.75,0.2,0.25,0.0,0.5,0.5
1,0.4166666666666667,1.0,0.6,0.5555555555555556,0.16666666666666666,0.25,0.8,0.0,0.42857142857142855,0.5
2,0.42857142857142855,0.3,1.0,0.5714285714285714,0.3333333333333333,0.5,0.5,0.5,0.6666666666666666,0.25
3,0.5,0.6,0.75,1.0,0.8333333333333334,0.6923076923076923,0.46153846153846156,0.5714285714285714,0.6,0.4166666666666667
4,0.6666666666666666,0.125,0.125,0.4444444444444444,1.0,0.5555555555555556,0.5454545454545454,0.6,0.3333333333333333,0.3125
5,0.2857142857142857,0.6666666666666666,0.5555555555555556,0.4,0.42857142857142855,1.0,0.5833333333333334,0.4444444444444444,0.2,0.3333333333333333
6,0.5,0.6666666666666666,0.3333333333333333,0.8,0.75,0.5,1.0,0.4,0.7777777777777778,0.75
7,0.5,0.14285714285714285,0.25,0.5,0.3333333333333333,0.0,0.5,1.0,0.4,0.0
8,0.42857142857142855,0.2857142857142857,0.42857142857142855,0.7777777777777778,0.4,0.4166666666666667,0.7272727272727273,0.42857142857142855,1.0,0.3333333333333333
9,0.5,0.38461538461538464,0.6666666666666666,0.7777777777777778,0.6,0.5,0.5,0.5555555555555556,0.3333333333333333,1.0
